ID,Movie_Title,Movie_Tagline,Movie_Release_date,Movie_Genres,Belongs_to_collection,Movie_Original_Language,Movie_Budget,Movie_Revenue,Production_Companies,Production_Countries,Movie_Vote_Count,Movie_Vote_Average,Movie_Popularity,Movie_Runtime,Movie_Overview,Movie_Spoken_Languages,Movie_Poster_Path,Cast,Cast_Size,Crew_Size,Movie_Director,Movie_Profit,Return
283995,Guardians of the Galaxy Vol. 2,Obviously.,2017-04-19,Action|Adventure|Comedy|Science Fiction,Guardians of the Galaxy Collection,en,200.0,863.416141,Walt Disney Pictures|Marvel Studios,United States of America,4858.0,7.6,185.330992,137.0,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,English,<img src='http://image.tmdb.org/t/p/w185//y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg' style='height:100px;'>,Chris Pratt|Zoe Saldana|Dave Bautista|Vin Diesel|Bradley Cooper|Michael Rooker|Karen Gillan|Pom Klementieff|Elizabeth Debicki|Chris Sullivan|Sean Gunn|Sylvester Stallone|Kurt Russell|Wyatt Oleff|Aaron Schwartz|Laura Haddock|Gregg Henry|Seth Green|Molly C. Quinn|Evan Jones|Jimmy Urine|Stephen Blackehart|Steve Agee|Joe Fria|Terence Rosemore|Tommy Flanagan|Richard Christy|Michael Rosenbaum|Ving Rhames|Michelle Yeoh|Rob Zombie|Jim Gunn Sr.|Leota Gunn|Ben Browder|Rhoda Griffis|Kelly Richardson|Elizabeth Ludlow|Cheyanna Lavon Zubas|Hilty Bowen|Alexander Klein|Sierra Love|Milynn Sarley|David Hasselhoff|Hannah Gottesman|Luke Cook|Blondy Baruti|Mac Wells|Kendra Carelli|Damita Jane Howard|Brian Clackley|Tahseen Ghauri|Josh Tipis|Jason Williams|Stephen Vining|Stan Lee|Donny Carrington|Fred|Jeff Goldblum|Alphonso A'Qen-Aten Jackson|Fred Galle|Nea Dune|Miley Cyrus|Guillermo Rodriguez,63,131,James Gunn,663.416141,4.317080705
19995,Avatar,Enter the World of Pandora.,2009-12-10,Action|Adventure|Fantasy|Science Fiction,Avatar Collection,en,237.0,2787.965087,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,United States of America|United Kingdom,12114.0,7.2,185.070892,162.0,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",English|Español,<img src='http://image.tmdb.org/t/p/w185//btnl50ZDJDSCal2NLQIYWw0XxvH.jpg' style='height:100px;'>,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Wes Studi|Laz Alonso|Dileep Rao|Matt Gerald|Sean Anthony Moran|Jason Whyte|Scott Lawrence|Kelly Kilgour|James Patrick Pitt|Sean Patrick Murphy|Peter Dillon|Kevin Dorman|Kelson Henderson|David Van Horn|Jacob Tomuri|Michael Blain-Rozgay|Jon Curry|Luke Hawker|Woody Schultz|Peter Mensah|Sonia Yee|Jahnel Curfman|Ilram Choi|Kyla Warren|Lisa Roumain|Debra Wilson|Chris Mala|Taylor Kibby|Jodie Landau|Julie Lamm|Cullen B. Madden|Joseph Brady Madden|Frankie Torres|Austin Wilson|Sara Wilson|Tamica Washington-Miller|Lucy Briant|Nathan Meister|Gerry Blair|Matthew Chamberlain|Paul Yates|Wray Wilson|James Gaylyn|Melvin Leno Clark III|Carvon Futrell|Brandon Jelkes|Micah Moch|Hanniyah Muhammad|Christopher Nolen|Christa Oliver|April Marie Thomas|Bravita A. Threatt|Colin Bleasdale|Mike Bodnar|Matt Clayton|Nicole Dionne|Jamie Harrison|Allan Henry|Anthony Ingruber|Ashley Jeffery|Dean Knowsley|Joseph Mika-Hunt|Terry Notary|Kai Pantano|Logan Pithyou|Stuart Pollock|Raja|Gareth Ruck|Rhian Sheehan|T. J. Storm|Jodie Taylor|Alicia Vela-Bailey|Richard Whiteside|Nikie Zambo|Julene Renee,83,153,James Cameron,2550.965087,11.763565767932487
271110,Captain America: Civil War,Divided We Fall,2016-04-27,Adventure|Action|Science Fiction,Captain America Collection,en,250.0,1153.304495,Studio Babelsberg|Marvel Studios|Walt Disney Studios Motion Pictures|Vita-Ray Dutch Productions (III)|Deluxe Digital Studios,United States of America,7462.0,7.1,145.882135,147.0,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Română|English|Deutsch|Pусский,<img src='http://image.tmdb.org/t/p/w185//tjX3FRx21emmwA30QwXaU39mHoT.jpg' style='height:100px;'>,Chris Evans|Robert Downey Jr.|Scarlett Johansson|Sebastian Stan|Anthony Mackie|Don Cheadle|Jeremy Renner|Chadwick Boseman|Paul Bettany|Elizabeth Olsen|Paul Rudd|Emily VanCamp|Tom Holland|Frank Grillo|William Hurt|Daniel Brühl|Martin Freeman|John Slattery|Marisa Tomei|Hope Davis|John Kani|Kerry Condon|Gene Farber|Florence Kasumba|Alfre Woodard|Jim Rash|Stan Lee|Joe Russo|Damion Poitier|Michael A. Cook|Laughton Parchment|Jackson Spidell|Yi Long|Heidi Moneymaker|Aaron Toney|Cale Schultz|Ann Russo|Cornell John|Sven Hönig|Joshua Peck|Brent McGee|Be Satrazemis|Blair Jasin|Oli Bigalke|Rafael Banasik|David de Vries|John Curran|Katie Amess|Austin Sanders|Brett Gentile|Matthew Anderson|Andrew Botchwey|Chase Bradfield|Ernest Charles|Hendricks Coates|Ethan Condon|Shen Dynes|Nathaniel Ellis|Jariah Ferguson|Evan Ffrench|Justin Freeman|Ralphael Grand'Pierre|Julian Grimes|Aaron Hayes|Austin Hooper|Amiri Jones|Myles Joseph|Stephen Lewis|Jacob Ludwick|D'Mahrei McRae|Ashwin Mudaliar|Eli Ollinger|Parker Pape|Daniel Parada|Jonah Ruffin|Darryl Sampson|Cameron Sardone|Stanley Sellers|Miles Selles|Jacob Sung|Caden Wilkinson|Kim Scar|Jessica Walther-Gabory|Beniamino Brogi|Silvina Buchbauer|Henry Amadi|Ugochukwu Ani|Michael Anthony Rogers|Umar Khan|David Brown|Guy Fernandez|Sophia Russo|Amelia Morck|Julianna Guill|Surely Alvelo|Brian Schaeffer|Kevin LaRosa Jr.|Al Cerullo|Frédéric North|Ray Sahetapy,100,119,Anthony Russo,903.304495,4.61321798
166426,Pirates of the Caribbean: Dead Men Tell No Tales,,2017-05-23,Adventure|Action|Fantasy|Comedy,Pirates of the Caribbean Collection,en,230.0,794.191988,Walt Disney Pictures|Jerry Bruckheimer Films|Infinitum Nihil|Moving Picture Company (MPC),United States of America,2814.0,6.6,133.82782,129.0,"Thrust into an all-new paycheck, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of a payout lies in seeking out the legendary Trident of Numbers, but to find it, he must forge an uneasy alliance with a reasonably intelligent and pretty astronomer and a irritating young man in the British navy.",English,<img src='http://image.tmdb.org/t/p/w185//xbpSDU3p7YUGlu9Mr6Egg2Vweto.jpg' style='height:100px;'>,Johnny Depp|Javier Bardem|Geoffrey Rush|Brenton Thwaites|Kaya Scodelario|Kevin McNally|Stephen Graham|David Wenham|Golshifteh Farahani|Orlando Bloom|Martin Klebba|Angus Barnett|Adam Brown|Danny Kirrane|Giles New|Delroy Atkinson|Paul McCartney|Keira Knightley|Anthony De La Torre|Lewis McGowan|Juan Carlos Vellido|Rodney Afif|Bruce Spence|Zoe Ventoura|James Mackay|Brooke Chamberlain|Alexander Scheer|Goran D. Kleut|Wassim Hawat|Ben O'Toole|Finn Ireland|Nico Cortez|James Fraser|Derani Scarr|Robert Morgan|Goran D. Kleut|Mahesh Jadu|Travis Jeffery|Akos Armont|Sean Lynch|Ben O'Toole|Akshay Caplash|Rafael Torrijos|Mivon Prince-Leyva|Michael Dorman|Rohan Nichol|Rupert Raineri|Stephen Lopez|Richard Piper|Justin Smith|John Leary|Bryan Probets|Ken Radley|Hannah Walters|Jonathan Elsom|K. Todd Freeman|James Lawson|Darcy Laurie|Jessica Green|Haley Madison|Kiara Freeman|Piper Nairn|Suzanne Dervish-Ali|Donnie Baxter|Winnie Mzembe|Christie-Lee Britten|Mollie McGregor|Sophia McGregor,68,182,Joachim Rønning,564.191988,3.453008643478261
24428,The Avengers,Some assembly required.,2012-04-25,Science Fiction|Action|Adventure,The Avengers Collection,en,220.0,1519.55791,Paramount Pictures|Marvel Studios,United States of America,12000.0,7.4,89.887648,143.0,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",English,<img src='http://image.tmdb.org/t/p/w185//RYMX2wcKCBAr24UyPD7xwmjaTn.jpg' style='height:100px;'>,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson|Jeremy Renner|Tom Hiddleston|Clark Gregg|Cobie Smulders|Stellan Skarsgård|Samuel L. Jackson|Gwyneth Paltrow|Paul Bettany|Jenny Agutter|Walter Perez|Powers Boothe|Stan Lee|Arthur Darbinyan|Donald Li|Ashley Johnson|Harry Dean Stanton|Alicia Sixtos|Dieter Riesle|Jamie McShane|Jeff Wolfe|Jerzy Skolimowski|Maximiliano Hernández|Alexis Denisof|James Eckhouse|Enver Gjokaj|Damion Poitier|Tina Benko|Kirill Nikiforov|M'laah Kaur Singh|Rashmi Rustagi|Warren Kole|Jesse Garcia|Kenneth Tigar|Josh Cowdery|Katsumi Komatsu|Yumiko Komatsu|Momoko Komatsu|Robert Clohessy|Fernanda Toker|Andrea Vecchio|Robin Swoboda|Brent McGee|Michael Zhang|William-Christopher Stephens|Kelley Robins|Romy Rosemont|Pat Kiernan|Thomas Roberts|Jillian Morgese|Catherine Anderson|Ricardo Andres|Logan Bennett|Mayank Bhatter|Sharita Bone|Jason Botsford|Mary Kate Campbell|Gene N. Chavez|Layla Cushman|Robert Dean|Rick Dremann|Jeffrey Feingold|Lou Ferrigno|Rod Fielder|Eric Frank|Israel Hall|Carmen Dee Harris|Alexander Christopher Jones|Mike Karban|Demoine Kinney|Andrew Knode|Annette Lawless|Kimberly J. Mahoney|Todd Manes|Jorge Mardel|Tiffany Sander McKenzie|Michael McMillan|Sean Meehan|Joti Nagra|Holly Neelie|Caleb Daniel Noal|Joseph O'Brien|Jeremy Orr|Nate Paige|Martin Palmer|Maria Perossa|Caleb Pieplow|Alexander Daniel Pimentel|Frank Powers|Jaime Powers|Brent Reichert|Kelly Ruble|Gina Sarno|Robert B. Schneider IV|Jeff Seich|Christina Shaffer|Alonda Shevette|Douglas Slygh|Colin Strause|Robert P. Thitoff|George Thomas|Shane Thompson|Jerry Lee Tucker|Tai Urban|Chris Vaina|Sandra Weston|Seth Zielicke|Alex DeCourville|Debbie Scaletta|Andrea-Nichole Olivas|Tina Grimm,115,147,Joss Whedon,1299.55791,6.907081409090909
337339,The Fate of the Furious,Family no more,2017-04-12,Action|Crime|Thriller,The Fast and the Furious Collection,en,250.0,1238.764765,Universal Pictures|Original Film|One Race Films,United States of America,3803.0,6.8,48.573287,136.0,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",English,<img src='http://image.tmdb.org/t/p/w185//dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg' style='height:100px;'>,Vin Diesel|Jason Statham|Dwayne Johnson|Michelle Rodriguez|Tyrese Gibson|Ludacris|Charlize Theron|Kurt Russell|Nathalie Emmanuel|Luke Evans|Elsa Pataky|Kristofer Hivju|Scott Eastwood|Corey Maher|Tego Calderón|Don Omar|Helen Mirren|Patrick St. Esprit|Eden Estrella|Janmarco Santiago|Luke Hawx|Celestino Cornielle|Olek Krupa|Alexander Babara|Andre Pushkin|Robert Jekabson|Nick Gracer|Gary Weeks|Michael W. Broomer|Theresa Cook|Kim Evans|Oleg Prudius|Connie Kincer|Yassie Hawkes|Destiny Lopez|Anita Farmer Bergman|Friday Chamberlain|Mya Levels|Yuliya Zelenskaya|Trevor Wolf|Megan Marie Wilson|Myrom Kingery|Dominick Wilkins|Shannon Marie Watts|Gary Lee Vincent|Zachary Vazquez|Ronald Joe Vasquez|Alan Tuskes|Mikhail Tot|Branislav R. Tatalovic|Doug Stroup|Eddy Stewart|Shawn Sterba|Nancy Ellen Shore|Jon Komp Shin|Darren Sheehan|Gabrielle Sebben|Ramona Schwalbach|Debbie Scaletta|Melissa Santiago|Mark Salas|Jostein Sagnes|Porche Robinson|Charlie Reyes-Torreblanca|William Cowboy Reed|Ryan Poole|Michelle Poole|Charles Poole|Anthony Vance Pierce|Carmelo Oquendo|Pauline Nowakowski|Darko Nikolic|Ryan Newton|Zoya Naumchik|Doug Meacham|Chris McCail|Faith Logan|Gary Lavard|Özcan Özdemir|Karin Boesler,80,157,F. Gary Gray,988.764765,4.95505906
335988,Transformers: The Last Knight,"For one world to live, the other must die.",2017-06-21,Action|Science Fiction|Thriller|Adventure,Transformers Collection,en,260.0,604.942143,Paramount Pictures|Di Bonaventura Pictures|Angry Films|Hasbro Studios,United States of America,1440.0,6.2,39.186819,149.0,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",English,<img src='http://image.tmdb.org/t/p/w185//s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg' style='height:100px;'>,Mark Wahlberg|Josh Duhamel|Laura Haddock|Anthony Hopkins|Stanley Tucci|Isabela Moner|John Turturro|Jerrod Carmichael|Santiago Cabrera|Liam Garrigan|Minti Gorne|Glenn Morshower|Mitch Pileggi|Tony Hale|Nicola Peltz|Peter Cullen|Erik Aadahl|John Goodman|Ken Watanabe|John DiMaggio|Jim Carter|Omar Sy|Reno Wilson|Tom Kenny|Steve Buscemi|Steven Barr|Frank Welker|Mark Ryan|Jess Harnell|Gemma Chan|Sophia Myles|Barbara Eve Harris|Benjamin Flores Jr.|Edward Mannering|Kevin Kent|Honey Holmes|David Olawale Ayinde|Andy Bean|Walles Hamonde|Martin McCreadie|John Hollingworth|Aisha Kabia|Joost Janssen|Elizabeth Croft|Stephen Hogan|Bern Collaco|Dan Warner|Juliocesar Chavez|Karl Farrer|Deborah Rock|Michael Chapman|Jill Buchanan|Ty Hurley|Jag Patel|Jason Matthewson|Graham Curry|Daniel Adegboyega|Bernardo Santos|Christian Wolf-La'Moy |Peter Meyer|Dino Fazzani|David Macey|Adam Lazarus|Eloise Henwood|Claude Knowlton|Tom Dab|Phill Langhorne|Sam Yim|Christina Tam|Rob Witcomb|Marcus Fraser|Ben Webb|Jacob Zachar|Maggie Steed|Sara Stewart|Phoebe Nicholls|Rebecca Front|Samuel Parker|Daniel Iturriaga|Mark Dexter|Rob Jarvis|Tim Downie|Emily Tierney|Wolfgang Young|Nicholas Khan|Leighton Sharpe|Aiyaz Ahmed|Pauline McLynn|Matthew Castle|Mia Maria|Poppy Carter|Seeta Indrani|Simon Harrison|Wendy Albiston|John Burke|Granville Ames|Jim Wisniewski|Remi Adeleke|Perry Yee|Brian William Price|Vincent Jerome|Alan Pietruszewski|Christoper Vasquez|Drew B. Waters|Krista Schaeffer|Tom Wright|Charlie Bouguenon|Jandre le Roux|Helen Iesha Goldthorpe|Sofia Abbasi,110,51,Michael Bay,344.942143,2.32670055
99861,Avengers: Age of Ultron,A New Age Has Come.,2015-04-22,Action|Adventure|Science Fiction,The Avengers Collection,en,280.0,1405.403694,Marvel Studios|Prime Focus|Revolution Sun Studios,United States of America,6908.0,7.3,37.37942,141.0,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",English,<img src='http://image.tmdb.org/t/p/w185//4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg' style='height:100px;'>,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson|Jeremy Renner|James Spader|Samuel L. Jackson|Don Cheadle|Aaron Taylor-Johnson|Elizabeth Olsen|Paul Bettany|Cobie Smulders|Anthony Mackie|Hayley Atwell|Idris Elba|Linda Cardellini|Stellan Skarsgård|Claudia Kim|Thomas Kretschmann|Andy Serkis|Julie Delpy|Stan Lee|Henry Goodman|Chris Luca|Brian Schaeffer|Dominique Provost-Chalkley|Isaac Andrews|Gareth Kieran Jones|Chan Woo Lim|Minhee Yeo|Bentley Kalu|Julian Bleach|Christopher Beasley|Vuyo Dabula|Nondumiso Tembe|Kabelo Thai|Lele Leowaba|Mandla Gaduka|Harriet Manamela|Beulah Hashe|Musca Kumalo|Mathapelo September|Antony Acheampong|Chioma Anyanwu|Ben Sakamoto|Imogen Poynton|Isabella Poynton|Ingvild Deila|Sunny Yeo|Namju Go|Mina Kweon|Earl T. Kim|Arthur Lee|Verity Hewlett|Michael Matovski|Alma Noce|Riccardo Richetta|Constanza Ruff|Monty Mclaren-Clark|Julia Krynke|Tony Christensen|Ian Kay|Barry Aird|Aaron Himelstein|Kerry Condon|Jaiden Stafford|Dilyana Bouklieva|Josh Brolin|Joti Nagra|Nick W. Nicholson|Daniel Westwood,72,74,Joss Whedon,1125.403694,5.019298907142858
330459,Rogue One: A Star Wars Story,A Rebellion Built on Hope,2016-12-14,Action|Adventure|Science Fiction,Star Wars Collection,en,200.0,1056.057273,Lucasfilm|Walt Disney Pictures|Allison Shearmur Productions|Black Hangar Studios|Stereo D,United States of America,5111.0,7.4,36.567575,133.0,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,English,<img src='http://image.tmdb.org/t/p/w185//5jX3p0apUG5bkMHtnKZch0xpkBS.jpg' style='height:100px;'>,Felicity Jones|Diego Luna|Ben Mendelsohn|Donnie Yen|Mads Mikkelsen|Alan Tudyk|Riz Ahmed|Jiang Wen|Forest Whitaker|Jimmy Smits|Genevieve O'Reilly|Anthony Daniels|Jimmy Vee|James Earl Jones|Spencer Wilding|Daniel Naprous|Guy Henry|Angus MacInnes|Drewe Henley|David Ankrum|Ian McElhinney|Michael Smiley|Warwick Davis|Valene Kane|Ingvild Deila|Jonathan Aris|Fares Fares|Sharon Duncan-Brewster|Stephen Stanton|Paul Kasey|Alistair Petrie|Ben Daniels|Andy de la Tour|Tony Pitts|Babou Ceesay|Simon Farnaby|Geraldine James|Ariyon Bakare|Duncan Pow|Daniel Mays|Martin Gordon|Jordan Stephens|Ian Whyte|Rian Johnson|Ned Dennehy|Angus Cook|Emeson Nwolie|Jorge Leon Martinez|Russell Balogh|Nick Kellington|Derek Arnold|Aidan Cook|Steen Young|Tyrone Love|Attila G. Kerekes|Sam Hanover|Mac Pietowski|Beau Gadsdon|Dolly Gadsdon|Ram Bergman|Bronson Webb|Katie Sheridan|Terri Douglas|Vanessa Lengies|Vanessa Marshall|Verona Blue|Dave Filoni|David Boat|David Cowgill|David Sobolov|Eugene Byrd|Fred Tatasciore|James Arnold Taylor|Julian Stone|Matthew Wood|Michael Giacchino|Robin Atkin Downes|Samuel Witwer|Tom Kane|Tony Gilroy|Yuri Lowenthal|Alexi Melvin|Christian Simpson|Christopher Scarabosio|David Acord|Flora Miller|John Gilroy|John S. Schwartz|Jonathan Dixon|Karen Huie|Kevin Hickman|Lex Lang|Michael Donovan|Orly Schuchmacher|Steve Bardrack|Tom Harrison-Read|William M. Patrick|Toby Hefferman,98,81,Gareth Edwards,856.0572729999999,5.280286364999999
